koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_ldm_coeff4,koi_ldm_coeff3,koi_ldm_coeff2,koi_ldm_coeff1,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_bin_oedp_sig,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sdec,koi_fwm_srao,koi_fwm_sdeco,koi_fwm_prao,koi_fwm_pdeco,koi_dicco_mra,koi_dicco_mdec,koi_dicco_msky,koi_dikco_mra,koi_dikco_mdec,koi_dikco_msky
1.0000,0,0,0,0,0.0000,0.0000,0.2291,0.4603,5.1358490,28.4708200,35.80,2,142,1,0.68640,291.934230,48.141651,15.347,15.890,15.270,15.114,15.006,14.082,13.751,13.648,0.002,19.462294000,48.14191000,0.43000,0.94000,-2.000000e-04,-5.500000e-04,-0.0100,0.2000,0.2000,0.0800,0.3100,0.3200
0.9690,0,0,0,0,0.0000,0.0000,0.2291,0.4603,7.0276690,20.1095070,25.80,2,25,2,0.00230,291.934230,48.141651,15.347,15.890,15.270,15.114,15.006,14.082,13.751,13.648,0.003,19.462265000,48.14199000,-0.63000,1.23000,6.600000e-04,-1.050000e-03,0.3900,0.0000,0.3900,0.4900,0.1200,0.5000
0.0000,0,0,0,0,0.0000,0.0000,0.2711,0.3858,37.1597670,187.4491000,76.30,1,56,1,0.66240,297.004820,48.134129,15.436,15.943,15.390,15.220,15.166,14.254,13.900,13.826,0.278,19.800320700,48.13412000,-0.02100,-0.03800,7.000000e-04,6.000000e-04,-0.0250,-0.0340,0.0420,0.0020,-0.0270,0.0270
0.0000,0,1,0,0,0.0000,0.0000,0.2865,0.3556,39.0665500,541.8951000,505.60,1,621,1,0.00000,285.534610,48.285210,15.597,16.100,15.554,15.382,15.266,14.326,13.911,13.809,0.000,19.035637620,48.28521050,-0.11100,0.00200,3.020000e-03,-1.420000e-03,-0.2490,0.1470,0.2890,-0.2570,0.0990,0.2760
1.0000,0,0,0,0,0.0000,0.0000,0.2844,0.3661,4.7499450,33.1919000,40.90,1,515,1,0.30900,288.754880,48.226200,15.509,16.015,15.468,15.292,15.241,14.366,14.064,13.952,0.733,19.250325800,48.22626000,-0.01000,0.23000,8.000000e-05,-7.000000e-05,0.0300,-0.0900,0.1000,0.0700,0.0200,0.0700
1.0000,0,0,0,0,0.0000,0.0000,0.2889,0.3511,9.0464560,55.2048650,66.50,3,95,1,0.09750,296.286130,48.224670,15.714,16.234,15.677,15.492,15.441,14.528,14.113,14.132,,19.752406100,48.22471000,-0.12000,0.14000,4.000000e-05,,0.0400,-0.0700,0.0800,-0.0200,-0.0800,0.0800
1.0000,0,0,0,0,0.0000,0.0000,0.2889,0.3511,5.5006430,33.5466580,40.20,3,240,2,0.54600,296.286130,48.224670,15.714,16.234,15.677,15.492,15.441,14.528,14.113,14.132,,19.752413000,48.22458000,0.14000,-0.32000,-1.600000e-04,,0.2500,0.0900,0.2600,0.1800,0.0600,0.1900
0.9920,0,0,0,0,0.0000,0.0000,0.2889,0.3511,4.3886313,12.3250940,15.00,3,355,3,0.43520,296.286130,48.224670,15.714,16.234,15.677,15.492,15.441,14.528,14.113,14.132,,19.752412000,48.22476000,0.10000,0.30000,-4.000000e-05,,-0.3300,-0.3000,0.4500,-0.4100,-0.2900,0.5000
0.0000,0,1,1,0,0.0000,0.0000,0.3050,0.3201,10.9646840,46.1530800,47.70,1,185,1,0.72130,298.864350,42.151569,12.660,12.999,12.609,12.515,12.480,11.659,11.415,11.396,0.000,19.923953400,42.15826200,-13.45000,24.09000,3.032000e-03,-5.549000e-03,-4.5060,7.7100,8.9300,-4.5370,7.7130,8.9480
1.0000,0,0,0,0,0.0000,0.0000,0.1451,0.5820,20.4571630,137.4498100,161.90,3,69,1,0.18190,286.999480,48.375790,15.841,16.559,15.770,15.534,15.368,14.363,13.868,13.785,0.063,19.133298900,48.37577800,0.03300,-0.04400,2.600000e-04,4.900000e-04,0.0410,-0.0150,0.0440,0.0050,0.0300,0.0310
0.8110,0,0,0,0,0.0000,0.0000,0.2676,0.3928,544.1701000,6468.0400000,4304.30,1,432,1,0.15220,286.808470,49.316399,11.338,11.736,11.275,11.168,11.126,10.232,9.920,9.846,0.000,19.120564040,49.31642961,-0.02320,0.10660,-1.200000e-04,7.800000e-04,-0.0090,-0.3000,0.3000,0.0150,-0.2700,0.2700
1.0000,0,1,0,0,0.0000,0.0000,0.3168,0.2958,232.2700000,3862.1846000,5945.90,1,611,1,0.00000,292.247280,47.969521,10.463,10.935,10.490,,,9.555,9.344,9.334,,19.483163025,47.96930831,0.39860,-0.75850,-1.754000e-03,,2.2200,-3.2900,3.9700,2.0200,-3.6700,4.1900
0.9980,0,0,0,0,0.0000,0.0000,0.3050,0.3201,130.8383200,1725.5824000,1741.50,1,384,1,0.66620,281.288120,42.451080,13.563,13.886,13.511,13.424,13.413,12.576,12.324,12.293,0.000,18.752527460,42.45106340,-0.55150,-0.05970,1.000000e-05,3.600000e-04,0.0140,-0.0130,0.0200,-0.0280,0.1760,0.1780
